"ID","x","y"
1,9.46064516129032,785.564331210191
2,18.57,639.150617283951
3,369.29,680.069135802469
4,195,777.272976680384
5,301.43,737.154855643045
6,252.14,784.021505376344
7,290.71,792.704845814978
8,207.86,777.839455782313
9,200,785.832884097035
10,152.86,770.37037037037
11,264.29,784.483950617284
12,126.43,760.493827160494
13,190.71,760.493827160494
14,112.14,782.483870967742
15,180,610.933333333333
16,118.57,767.545679012346
17,176.43,773.195061728395
18,26.43,776.00987654321
19,32.14,759.081481481482
20,22.86,784.483950617284
21,42.14,759.081481481482
22,22.14,780.953886693017
23,201.43,737.214814814815
24,30.71,687.832098765432
25,85.71,788.00987654321
26,183.57,780.151898734177
27,105,778.133333333333
28,128.57,781.751978891821
29,74.29,780.246913580247
30,155.71,775.308641975309
31,17.14,764.01975308642
32,34.29,737.916049382716
33,226.43,696.997530864198
34,20,762.63601532567
35,122.86,704.760493827161
36,7.14,791.92811296534
37,70,703.348148148148
38,65.71,764.730864197531
39,112.14,764.01975308642
40,195.71,776.8772845953
41,54.29,704.059259259259
42,95,697.708641975309
43,17.14,752.730864197531
44,125.71,749.916049382716
45,110.71,780.246913580247
46,18.57,726.627160493827
47,25.71,755.555555555556
48,82.14,709.698765432099
49,12.14,783.071604938272
50,76.43,771.071604938272
51,85.71,765.432098765432
52,209.29,784.997347480106
53,200.71,740.740740740741
54,167.14,742.854320987654
55,245.71,777.422222222222
56,175,762.914893617021
57,152.14,697.708641975309
58,162.14,698.40987654321
59,113.57,776.720987654321
60,187.86,778.975032851511
61,185,783.687092568449
62,199.29,749.204938271605
63,184.29,780.692307692308
64,107.14,775.308641975309
65,115.71,650.43950617284
66,33.57,763.318518518519
67,167.14,786.597530864197
68,99.29,761.195061728395
69,199.29,784.267379679144
70,7.86,782.36049382716
71,72.86,755.555555555556
72,22.86,742.153086419753
73,59.29,761.195061728395
74,72.14,698.40987654321
75,189.29,678.656790123457
76,100.71,756.256790123457
77,187.86,743.565432098765
78,103.57,718.162962962963
79,246.43,776.956989247312
80,195.71,778.834567901235
81,45.71,756.967901234568
82,93.57,779.545679012346
83,168.57,755.736416184971
84,308.57,790.073871409029
85,50,773.472660996355
86,125.860373647984,770.456310679612
87,75,779.508238276299
88,35.71,775.653429602888
89,60.71,724.032369942197
90,105.007826941986,776.064864864865
91,103.57,689.673988439306
92,51.43,714.783815028902
93,117.86,749.132947976879
94,249.29,759.038150289017
95,147.076331535066,765.809408926417
96,476.43,634.081902245707
97,238.57,789.184243964422
98,125.71,777.901477832512
99,45,769.557788944724
100,127.86,773.722627737226
101,127.14,788.020460358056
102,213.57,696.943352601156
103,201.43,698.922543352601
104,192.86,741.793788819876
105,97.86,709.185731857319
106,222.14,709.310924369748
107,190,781.587628865979
108,55.71,780.652962515115
109,163.57,652.679768786127
110,285,746.460746460746
111,127.86,758.474820143885
112,211.43,761.68323699422
113,185,783.868235294118
114,250,739.491764705882
115,115,745.701093560146
116,294.29,749.581176470588
117,98.8596278158668,783.0911360799
118,200,721.990196078431
119,97.86,700.508235294118
120,174.29,688.404705882353
121,396.43,754.287058823529
122,147.86,736.95717884131
123,243.57,683.698823529412
124,170,764.246305418719
125,18.57,706.550588235294
