"ID","Date","Time","x","y"
"1",2020-03-08,"Morning",1090.838528,91.9744
"1",2020-03-08,"Morning",939.096064,343.4392
"2",2020-03-09,"Morning",1244.499968,21.7284
"2",2020-03-09,"Morning",1128.4992,58.2716
"2",2020-03-09,"Morning",824.000512,496.296
"2",2020-03-09,"Morning",874.000384,507.6544
"2",2020-03-09,"Morning",725.999616,498.272
"3",2020-03-09,"Morning",1507.00032,366.42
"3",2020-03-09,"Morning",1521.50016,123.4568
"3",2020-03-09,"Morning",1456.500736,174.8152
"3",2020-03-09,"Morning",1522.499584,424.1976
"3",2020-03-09,"Morning",1255.499776,552.0984
"3",2020-03-09,"Morning",1570.000896,165.432
"4",2020-03-09,"Noon",602.499072,443.896
"4",2020-03-09,"Noon",675.00032,446.0904
"4",2020-03-09,"Noon",1198.49984,172.8392
"4",2020-03-09,"Noon",924.99968,270.5072
"4",2020-03-09,"Noon",1347.999744,256.7904
"4",2020-03-09,"Noon",1234.499584,99.8632
"4",2020-03-09,"Noon",653.000704,429.6296
"4",2020-03-09,"Noon",1300.000768,164.06
"4",2020-03-09,"Noon",886.99904,480.6584
"4",2020-03-09,"Noon",1400.999936,151.44
"4",2020-03-09,"Noon",1365.999616,151.9888
"4",2020-03-09,"Noon",1367.5008,446.6392
"5",2020-03-10,"Morning",1529.499648,23.09712
"5",2020-03-10,"Morning",508.499968,522.8344
"5",2020-03-10,"Morning",1487.499264,15.22312
"5",2020-03-10,"Morning",1480.4992,66.14176
"5",2020-03-10,"Morning",1415.000064,320.7352
"5",2020-03-10,"Morning",915.499008,279.2648
"6",2020-03-13,"Noon",1255.999488,170.4304
"6",2020-03-13,"Noon",1320.4992,79.56992
"7",2020-03-14,"Morning",1315.500032,39.94128
"7",2020-03-14,"Morning",1254.500352,226.1384
"8",2020-03-14,"Evening",1423.499264,104.4896
"8",2020-03-14,"Evening",1412.499456,101.7688
"8",2020-03-14,"Evening",1523.499008,121.9048
"8",2020-03-14,"Evening",1461.000192,117.5512
"8",2020-03-14,"Evening",1331.499008,263.9456
"8",2020-03-14,"Evening",1300.000768,157.8232
"8",2020-03-14,"Evening",654.999552,452.2448
"9",2020-03-15,"Noon",1230.49984,41.50944
"9",2020-03-15,"Noon",1244.499968,53.90832
"9",2020-03-15,"Noon",1195.999232,153.1
"9",2020-03-15,"Noon",1351.499776,90.5664
"9",2020-03-15,"Noon",1287.499776,50.1348
"9",2020-03-15,"Noon",1337.499648,147.7088
"10",2020-03-15,"Noon",1399.5008,56.29632
"10",2020-03-15,"Noon",1283.500032,95.8024
"11",2020-03-15,"Evening",1441.499136,41.97528
"11",2020-03-15,"Evening",1508.499456,106.6664
"11",2020-03-15,"Evening",1372.99968,241.4816
"11",2020-03-15,"Evening",1624.999936,678.5184
"11",2020-03-15,"Evening",1013.000192,446.42
"11",2020-03-15,"Evening",1566.500864,286.42
"12",2020-03-16,"Morning",1317.500928,11.85184
"12",2020-03-16,"Morning",1212.499968,155.5552
"12",2020-03-16,"Morning",1326.49984,85.432
"12",2020-03-16,"Morning",1302.99904,94.3208
"12",2020-03-16,"Morning",1277.999104,157.0368
"12",2020-03-16,"Morning",1349.500928,76.5432
"12",2020-03-16,"Morning",1080.000512,346.6664
"12",2020-03-16,"Morning",970.999808,341.7288
"13",2020-03-16,"Noon",1283.500032,63.20984
"13",2020-03-16,"Noon",1338.499072,156.0496
"13",2020-03-16,"Noon",1107.499008,561.4816
"14",2020-03-18,"Morning",820.50048,397.312
"15",2020-03-21,"Noon",1328.500736,50.86416
"15",2020-03-21,"Noon",1152,310.1232
"16",2020-03-30,"Noon",1141.999616,253.3336
"16",2020-03-30,"Noon",1273.499648,20.24688
"16",2020-03-30,"Noon",1332.000768,63.70368
"16",2020-03-30,"Noon",1220.499456,28.14816
"16",2020-03-30,"Noon",778.999808,516.5432
"17",2020-03-30,"Evening",1177.499648,47.40744
"17",2020-03-30,"Evening",1308.499968,13.33336
"17",2020-03-30,"Evening",1248.999424,57.77776
"17",2020-03-30,"Evening",1220.499456,144.1976
"17",2020-03-30,"Evening",1193.00096,162.4688
"17",2020-03-30,"Evening",1344,42.96296
"17",2020-03-30,"Evening",1337.499648,97.7776
"17",2020-03-30,"Evening",1205.000192,367.9016
"18",2020-03-31,"Noon",1158.500352,448.8888
"18",2020-03-31,"Noon",1181.499392,64.19752
"18",2020-03-31,"Noon",1270.99904,63.70368
"18",2020-03-31,"Noon",1258.000384,118.0248
"19",2020-03-31,"Evening",1273.499648,67.65432
"19",2020-03-31,"Evening",1336.500224,64.69136
"19",2020-03-31,"Evening",1352.4992,88.8888
"19",2020-03-31,"Evening",1317.500928,144.6912
"20",2020-04-02,"Noon",1255.499776,40.98768
"20",2020-04-02,"Noon",1251.500032,72.59256
"20",2020-04-02,"Noon",1187.500032,52.34568
"20",2020-04-02,"Noon",1222.500352,29.6296
"20",2020-04-02,"Noon",1138.499584,109.136
"20",2020-04-02,"Noon",1231.499264,118.5184
"20",2020-04-02,"Noon",1176.500224,122.4688
"20",2020-04-02,"Noon",1157.500928,132.8392
"20",2020-04-02,"Noon",1215.000576,124.4448
"20",2020-04-02,"Noon",1264.500736,94.8152
"20",2020-04-02,"Noon",1269.000192,148.6416
"20",2020-04-02,"Noon",1250.000896,145.1848
"20",2020-04-02,"Noon",826.499072,552.0984
"20",2020-04-02,"Noon",629.999616,584.6912
"20",2020-04-02,"Noon",866.000896,561.9752
"21",2020-04-02,"Evening",1120.999424,214.3208
"21",2020-04-02,"Evening",1190.500352,104.6912
"21",2020-04-02,"Evening",1203.499008,36.5432
"21",2020-04-02,"Evening",1113.499648,215.3088
"21",2020-04-02,"Evening",1333.000192,118.0248
"21",2020-04-02,"Evening",1216.999424,371.3584
"21",2020-04-02,"Evening",1247.000576,135.3088
"22",2020-04-03,"Noon",149.499904,605.0064
"22",2020-04-03,"Noon",362.500096,520.1584
"22",2020-04-03,"Noon",1265.50016,42.68776
"22",2020-04-03,"Noon",1230.49984,90.6456
"22",2020-04-03,"Noon",1237.000192,383.136
"22",2020-04-03,"Noon",1030.00064,203.9528
"22",2020-04-03,"Noon",1173.000192,145.9816
"22",2020-04-03,"Noon",1123.00032,353.6232
"22",2020-04-03,"Noon",1184.999424,74.30832
"22",2020-04-03,"Noon",1213.999104,441.6336
"22",2020-04-03,"Noon",1202.999296,238.7352
"22",2020-04-03,"Noon",1073.000448,248.2216
"22",2020-04-03,"Noon",868.999168,511.1992
"23",2020-04-03,"Evening",797.999104,335.3088
"23",2020-04-03,"Evening",1530.499072,184.1976
"23",2020-04-03,"Evening",1472,57.28392
"23",2020-04-03,"Evening",785.50016,331.3584
"23",2020-04-03,"Evening",1397.000192,478.5184
"24",2020-04-04,"Noon",1258.999808,32.59256
"24",2020-04-04,"Noon",1196.500992,19.75312
"24",2020-04-04,"Noon",1145.499648,47.9012
"24",2020-04-04,"Noon",1089.499136,80.988
"24",2020-04-04,"Noon",1205.000192,46.9136
"24",2020-04-04,"Noon",1243.500544,27.16048
"24",2020-04-04,"Noon",1205.999616,92.8392
"24",2020-04-04,"Noon",1168.500736,15.80248
"24",2020-04-04,"Noon",1243.500544,224.6912
"24",2020-04-04,"Noon",1173.999616,407.9016
"24",2020-04-04,"Noon",1157.500928,403.9504
"24",2020-04-04,"Noon",1083.500544,181.728
"24",2020-04-04,"Noon",1218.000896,289.3824
"24",2020-04-04,"Noon",1129.00096,99.2592
"24",2020-04-04,"Noon",1259.999232,174.8152
"24",2020-04-04,"Noon",1147.500544,97.7776
"24",2020-04-04,"Noon",1113.99936,240.988
"24",2020-04-04,"Noon",1242.499072,128.3952
"24",2020-04-04,"Noon",1191.999488,124.4448
"24",2020-04-04,"Noon",790.99904,548.6416
"24",2020-04-04,"Noon",1066.500096,468.148
"25",2020-04-04,"Evening",1237.999616,110.6176
"25",2020-04-04,"Evening",864.999424,490.864
"26",2020-04-05,"Noon",1204.50048,41.06888
"26",2020-04-05,"Noon",1190.500352,48.94512
"27",2020-04-05,"Evening",1116.499968,230.1232
"27",2020-04-05,"Evening",780.500992,609.8768
"28",2020-04-06,"Noon",1177.499648,144.0632
"28",2020-04-06,"Noon",1247.000576,150.396
