"ID","Date","Time","Number","zona","luce","mean_temperature","weekend_festive","rain","season"
1,2020-03-08,"Morning",2,"lockdown",1,9,1,0,"winter"
2,2020-03-09,"Morning",5,"lockdown",1,9,0,0,"winter"
3,2020-03-09,"Morning",6,"lockdown",1,9,0,0,"winter"
4,2020-03-09,"Noon",12,"lockdown",1,9,0,0,"winter"
5,2020-03-10,"Morning",6,"lockdown",1,9,0,0,"winter"
6,2020-03-13,"Noon",2,"lockdown",1,11,0,0,"winter"
7,2020-03-14,"Morning",2,"lockdown",1,10,1,0,"winter"
8,2020-03-14,"Evening",7,"lockdown",1,10,1,0,"winter"
9,2020-03-15,"Noon",6,"lockdown",1,9,1,0,"winter"
10,2020-03-15,"Noon",2,"lockdown",1,9,1,0,"winter"
11,2020-03-15,"Evening",6,"lockdown",0,9,1,0,"winter"
12,2020-03-16,"Morning",8,"lockdown",1,9,0,0,"winter"
13,2020-03-16,"Noon",3,"lockdown",1,9,0,0,"winter"
14,2020-03-18,"Morning",1,"lockdown",1,13,0,0,"winter"
15,2020-03-21,"Noon",2,"lockdown",1,12,1,0,"spring"
16,2020-03-30,"Noon",5,"lockdown",1,10,0,2.2,"spring"
17,2020-03-30,"Evening",8,"lockdown",1,10,0,2.2,"spring"
18,2020-03-31,"Noon",4,"lockdown",1,7,0,0,"spring"
19,2020-03-31,"Evening",4,"lockdown",1,7,0,0,"spring"
20,2020-04-02,"Noon",15,"lockdown",1,7,0,0,"spring"
21,2020-04-02,"Evening",7,"lockdown",1,7,0,0,"spring"
22,2020-04-03,"Noon",13,"lockdown",1,10,0,0,"spring"
23,2020-04-03,"Evening",5,"lockdown",1,10,0,0,"spring"
24,2020-04-04,"Noon",21,"lockdown",1,13,1,0,"spring"
25,2020-04-04,"Evening",2,"lockdown",1,13,1,0,"spring"
26,2020-04-05,"Noon",2,"lockdown",1,15,1,0,"spring"
27,2020-04-05,"Evening",2,"lockdown",1,15,1,0,"spring"
28,2020-04-06,"Noon",10,"lockdown",1,15,0,0,"spring"
29,2020-04-06,"Evening",6,"lockdown",1,15,0,0,"spring"
30,2020-04-07,"Noon",10,"lockdown",1,14,0,0,"spring"
31,2020-04-07,"Evening",4,"lockdown",1,14,0,0,"spring"
32,2020-04-08,"Noon",4,"lockdown",1,14,0,0,"spring"
33,2020-04-08,"Evening",7,"lockdown",1,14,0,0,"spring"
34,2020-04-09,"Noon",14,"lockdown",1,14,1,0,"spring"
35,2020-04-09,"Evening",9,"lockdown",1,14,1,0,"spring"
36,2020-04-10,"Noon",10,"lockdown",1,18,0,0,"spring"
37,2020-04-10,"Evening",6,"lockdown",1,18,0,0,"spring"
38,2020-04-11,"Noon",9,"lockdown",1,16,1,0,"spring"
39,2020-04-11,"Evening",3,"lockdown",1,16,1,0,"spring"
40,2020-04-12,"Noon",3,"lockdown",1,16,1,0,"spring"
41,2020-04-13,"Evening",1,"lockdown",1,15,1,0,"spring"
42,2020-04-14,"Noon",13,"lockdown",1,13,0,0,"spring"
43,2020-04-14,"Noon",17,"lockdown",1,13,0,0,"spring"
44,2020-04-14,"Evening",10,"lockdown",1,13,0,0,"spring"
45,2020-04-15,"Noon",12,"lockdown",1,10,0,0,"spring"
46,2020-04-15,"Evening",8,"lockdown",1,10,0,0,"spring"
47,2020-04-17,"Noon",12,"lockdown",1,13,0,0,"spring"
48,2020-04-17,"Evening",7,"lockdown",1,13,0,0,"spring"
49,2020-04-18,"Noon",23,"lockdown",1,14,1,0,"spring"
50,2020-04-18,"Evening",6,"lockdown",1,14,1,0,"spring"
51,2020-04-19,"Noon",5,"lockdown",1,15,1,0,"spring"
52,2020-04-19,"Evening",3,"lockdown",1,15,1,0,"spring"
53,2020-04-20,"Noon",8,"lockdown",1,16,0,0.4,"spring"
54,2020-04-20,"Evening",7,"lockdown",1,16,0,0.4,"spring"
55,2020-04-21,"Noon",12,"lockdown",1,16,0,0,"spring"
56,2020-04-21,"Evening",8,"lockdown",1,16,0,0,"spring"
57,2020-04-22,"Noon",16,"lockdown",1,16,0,0,"spring"
58,2020-04-22,"Evening",9,"lockdown",1,16,0,0,"spring"
59,2020-04-23,"Noon",14,"lockdown",1,16,0,0,"spring"
60,2020-04-23,"Evening",6,"lockdown",1,16,0,0,"spring"
61,2020-04-24,"Noon",19,"lockdown",1,15,0,0,"spring"
62,2020-04-24,"Evening",12,"lockdown",1,15,0,0,"spring"
63,2020-04-25,"Noon",10,"lockdown",1,16,1,0,"spring"
64,2020-04-25,"Evening",2,"lockdown",1,16,1,0,"spring"
65,2020-04-26,"Noon",1,"lockdown",1,16,1,0,"spring"
66,2020-04-27,"Noon",13,"lockdown",1,16,0,0.4,"spring"
67,2020-04-27,"Evening",11,"lockdown",1,16,0,0.4,"spring"
68,2020-04-28,"Noon",7,"lockdown",1,16,0,2,"spring"
69,2020-04-28,"Evening",15,"lockdown",1,16,0,2,"spring"
70,2020-04-29,"Noon",9,"lockdown",1,15,0,13,"spring"
71,2020-04-29,"Evening",22,"lockdown",1,15,0,13,"spring"
72,2020-05-01,"Noon",7,"lockdown",1,16,1,0.2,"spring"
73,2020-05-01,"Evening",9,"lockdown",1,16,1,0.2,"spring"
74,2020-05-02,"Noon",27,"lockdown",1,17,1,0,"spring"
75,2020-05-02,"Evening",17,"lockdown",1,17,1,0,"spring"
76,2020-05-03,"Noon",8,"lockdown",1,16,1,0,"spring"
77,2020-05-04,"Evening",16,"phase2",1,16,0,0,"spring"
78,2020-05-05,"Noon",32,"phase2",1,16,0,0,"spring"
79,2020-05-05,"Evening",16,"phase2",1,16,0,0,"spring"
80,2020-05-06,"Evening",10,"phase2",1,16,0,0,"spring"
81,2020-05-07,"Noon",11,"phase2",1,17,0,0,"spring"
82,2020-05-07,"Evening",12,"phase2",1,17,0,0,"spring"
83,2020-05-09,"Noon",24,"phase2",1,18,1,0,"spring"
84,2020-05-09,"Evening",20,"phase2",1,18,1,0,"spring"
85,2020-05-10,"Noon",10,"phase2",1,18,1,0,"spring"
86,2020-05-10,"Evening",14,"phase2",1,18,1,0,"spring"
87,2020-05-11,"Noon",20,"phase2",1,18,0,5.8,"spring"
88,2020-05-11,"Evening",11,"phase2",1,18,0,5.8,"spring"
89,2020-05-12,"Noon",13,"phase2",1,16,0,0,"spring"
90,2020-05-12,"Evening",21,"phase2",1,16,0,0,"spring"
91,2020-05-14,"Noon",11,"phase2",1,19,0,0,"spring"
92,2020-05-14,"Evening",9,"phase2",1,19,0,0,"spring"
93,2020-05-15,"Noon",2,"phase2",1,20,0,10,"spring"
94,2020-05-15,"Evening",13,"phase2",1,20,0,10,"spring"
95,2020-05-16,"Noon",14,"phase2",1,18,1,1.4,"spring"
96,2020-05-16,"Evening",17,"phase2",1,18,1,1.4,"spring"
97,2020-05-17,"Noon",20,"phase2",1,21,1,0,"spring"
98,2020-05-17,"Evening",20,"phase2",1,21,1,0,"spring"
