Alba 2020;Tramonto 2020;Alba 2021;Tramonto 2021;Alba 2022;Tramonto 2022
07:50:33;16:37:38;07:50:35;16:38:19;07:50:34;16:38:06
07:50:35;16:38:33;07:50:35;16:39:16;07:50:35;16:39:02
07:50:35;16:39:30;07:50:33;16:40:14;07:50:33;16:40:00
07:50:32;16:40:29;07:50:28;16:41:14;07:50:29;16:40:59
07:50:27;16:41:29;07:50:20;16:42:16;07:50:22;16:42:01
07:50:18;16:42:32;07:50:10;16:43:20;07:50:13;16:43:04
07:50:08;16:43:36;07:49:57;16:44:25;07:50:01;16:44:09
07:49:54;16:44:42;07:49:42;16:45:32;07:49:46;16:45:16
07:49:38;16:45:49;07:49:24;16:46:41;07:49:28;16:46:24
07:49:19;16:46:58;07:49:03;16:47:51;07:49:08;16:47:34
07:48:58;16:48:08;07:48:40;16:49:03;07:48:46;16:48:45
07:48:34;16:49:20;07:48:14;16:50:15;07:48:21;16:49:57
07:48:08;16:50:33;07:47:46;16:51:29;07:47:53;16:51:11
07:47:39;16:51:48;07:47:15;16:52:45;07:47:23;16:52:26
07:47:08;16:53:03;07:46:42;16:54:01;07:46:50;16:53:43
07:46:34;16:54:20;07:46:06;16:55:19;07:46:15;16:55:00
07:45:57;16:55:38;07:45:28;16:56:37;07:45:37;16:56:18
07:45:19;16:56:57;07:44:48;16:57:57;07:44:57;16:57:37
07:44:37;16:58:17;07:44:05;16:59:17;07:44:15;16:58:58
07:43:54;16:59:37;07:43:19;17:00:39;07:43:30;17:00:19
07:43:08;17:00:59;07:42:32;17:02:01;07:42:43;17:01:41
07:42:20;17:02:21;07:41:42;17:03:24;07:41:54;17:03:03
07:41:30;17:03:44;07:40:50;17:04:47;07:41:03;17:04:27
07:40:37;17:05:07;07:39:56;17:06:11;07:40:09;17:05:50
07:39:42;17:06:32;07:38:59;17:07:36;07:39:13;17:07:15
07:38:45;17:07:56;07:38:01;17:09:01;07:38:15;17:08:40
07:37:46;17:09:22;07:37:00;17:10:26;07:37:15;17:10:05
07:36:45;17:10:47;07:35:58;17:11:52;07:36:13;17:11:31
07:35:42;17:12:13;07:34:53;17:13:18;07:35:09;17:12:57
07:34:37;17:13:40;07:33:47;17:14:45;07:34:03;17:14:24
07:33:30;17:15:06;07:32:38;17:16:12;07:32:55;17:15:51
07:32:22;17:16:33;07:31:28;17:17:39;07:31:45;17:17:18
07:31:11;17:18:00;07:30:16;17:19:06;07:30:33;17:18:45
07:29:58;17:19:28;07:29:02;17:20:34;07:29:20;17:20:12
07:28:44;17:20:55;07:27:46;17:22:01;07:28:05;17:21:40
07:27:28;17:22:22;07:26:29;17:23:29;07:26:48;17:23:07
07:26:10;17:23:50;07:25:10;17:24:56;07:25:29;17:24:35
07:24:51;17:25:18;07:23:50;17:26:24;07:24:09;17:26:02
07:23:30;17:26:45;07:22:28;17:27:51;07:22:47;17:27:30
07:22:08;17:28:13;07:21:04;17:29:19;07:21:24;17:28:58
07:20:44;17:29:40;07:19:39;17:30:46;07:19:59;17:30:25
07:19:18;17:31:08;07:18:12;17:32:14;07:18:33;17:31:52
07:17:51;17:32:35;07:16:44;17:33:41;07:17:06;17:33:19
07:16:23;17:34:02;07:15:15;17:35:08;07:15:37;17:34:47
07:14:53;17:35:29;07:13:44;17:36:35;07:14:06;17:36:13
07:13:22;17:36:56;07:12:12;17:38:01;07:12:35;17:37:40
07:11:50;17:38:22;07:10:39;17:39:28;07:11:02;17:39:07
07:10:16;17:39:49;07:09:05;17:40:54;07:09:28;17:40:33
07:08:42;17:41:15;07:07:29;17:42:20;07:07:52;17:41:59
