TEMP 2022;TEMP 2021;TEMP 2020;;;;;;;;;;;;;
2;5;4;;;;;;;;;;;;;
3;7;4;;;;;;;;;;;;;
6;6;1;;;;;;;;;;;;;
7;6;4;;;;;;;;;;;;;
7;5;5;;;;;;;;;;;;;
5;4;3;;;;;;;;;;;;;
3;2;1;;;;;;;;;;;;;
1;3;2;;;;;;;;;;;;;
2;3;4;;;;;;;;;;;;;
4;3;2;;;;;;;;;;;;;
4;2;5;;;;;;;;;;;;;
3;0;5;;;;;;;;;;;;;
2;1;3;;;;;;;;;;;;;
2;3;2;;;;;;;;;;;;;
4;2;3;;;;;;;;;;;;;
4;1;4;;;;;;;;;;;;;
3;1;5;;;;;;;;;;;;;
5;1;6;;;;;;;;;;;;;
4;0;7;;;;;;;;;;;;;
4;2;5;;;;;;;;;;;;;
3;4;4;;;;;;;;;;;;;
0;7;2;;;;;;;;;;;;;
3;7;4;;;;;;;;;;;;;
3;5;4;;;;;;;;;;;;;
4;3;7;;;;;;;;;;;;;
3;3;7;;;;;;;;;;;;;
4;1;4;;;;;;;;;;;;;
5;1;6;;;;;;;;;;;;;
4;2;4;;;;;;;;;;;;;
4;3;5;;;;;;;;;;;;;
3;6;6;;;;;;;;;;;;;
4;5;7;;;;;;;;;;;;;
5;6;8;;;;;;;;;;;;;
6;6;8;;;;;;;;;;;;;
7;7;8;;;;;;;;;;;;;
6;9;8;;;;;;;;;;;;;
4;9;6;;;;;;;;;;;;;
8;10;5;;;;;;;;;;;;;
5;9;4;;;;;;;;;;;;;
4;9;5;;;;;;;;;;;;;
5;9;7;;;;;;;;;;;;;
6;6;6;;;;;;;;;;;;;
7;1;7;;;;;;;;;;;;;
4;0;7;;;;;;;;;;;;;
4;1;8;;;;;;;;;;;;;
6;1;8;;;;;;;;;;;;;
6;2;7;;;;;;;;;;;;;
6;5;8;;;;;;;;;;;;;
7;7;9;;;;;;;;;;;;;
8;8;8;;;;;;;;;;;;;
9;10;7;;;;;;;;;;;;;
8;10;7;;;;;;;;;;;;;
7;8;8;;;;;;;;;;;;;
7;8;7;;;;;;;;;;;;;
7;11;9;;;;;;;;;;;;;
7;12;9;;;;;;;;;;;;;
7;10;9;;;;;;;;;;;;;
7;11;10;;;;;;;;;;;;;
6;8;9;;;;;;;;;;;;;
5;8;8;;;;;;;;;;;;;
5;9;8;;;;;;;;;;;;;
6;8;8;;;;;;;;;;;;;
7;7;10;;;;;;;;;;;;;
6;9;9;;;;;;;;;;;;;
5;6;7;;;;;;;;;;;;;
